ES,Given,Time,wmedian,wmedianSD
0.03125,1.0,1,0.2045222871202537,0.0
0.03125,0.9,1,0.1840700584082283,0.0
0.03125,0.8,1,0.16361782969620292,0.0
0.03125,0.7,1,0.14316560098417758,0.0
0.03125,0.6,1,0.12271337227215218,0.0
0.03125,0.5,1,0.10226114356012678,0.0
0.03125,0.3999999999999999,1,0.08180891484810143,0.0
0.03125,0.29999999999999993,1,0.06135668613607609,0.0
0.03125,0.19999999999999996,1,0.04090445742405069,0.0
0.03125,0.09999999999999998,1,0.02045222871202529,0.0
0.03125,0.0,1,0.0,0.0
0.0625,1.0,1,0.20945882453811593,0.0
0.0625,0.9,1,0.1885129420817048,0.0
0.0625,0.8,1,0.16756705962529778,0.0
0.0625,0.7,1,0.14662117716890433,0.0
0.0625,0.6,1,0.1256752947125518,0.0
0.0625,0.5,1,0.10472941225631349,0.0
0.0625,0.3999999999999999,1,0.0837835298003724,0.0
0.0625,0.29999999999999993,1,0.06283764734515901,0.0
0.0625,0.19999999999999996,1,0.041891764891634875,0.0
0.0625,0.09999999999999998,1,0.020945882441850305,0.0
0.0625,0.0,1,0.0,0.0
0.125,1.0,1,0.22081406715245475,0.0
0.125,0.9,1,0.19873229408085796,0.0
0.125,0.8,1,0.17665053624137533,0.0
0.125,0.7,1,0.15456880399222067,0.0
0.125,0.6,1,0.1324871130044622,0.0
0.125,0.5,1,0.11040548625192825,0.0
0.125,0.3999999999999999,1,0.08832395651494263,0.0
0.125,0.29999999999999993,1,0.0662425694796076,0.0
0.125,0.19999999999999996,1,0.044161387520294304,0.0
0.125,0.09999999999999998,1,0.02208049425887626,0.0
0.125,0.0,1,0.0,0.0
0.25,1.0,1,0.24955022741647903,0.0
0.25,0.9,1,0.2244277409146304,0.0
0.25,0.8,1,0.19932896177132042,0.0
0.25,0.7,1,0.17425833912263333,0.0
0.25,0.6,1,0.1492206851091638,0.0
0.25,0.5,1,0.12422116674501277,0.0
0.25,0.3999999999999999,1,0.09926529652556143,0.0
0.25,0.29999999999999993,1,0.07435892171229824,0.0
0.25,0.19999999999999996,1,0.04950821224310187,0.0
0.25,0.09999999999999998,1,0.024719647227651464,0.0
0.25,0.0,1,0.0,0.0
0.5,1.0,1,0.28444444444444444,0.0
0.5,0.9,1,0.2531868131868132,0.0
0.5,0.8,1,0.2226086956521739,0.0
0.5,0.7,1,0.19268817204301075,0.0
0.5,0.6,1,0.16340425531914893,0.0
0.5,0.5,1,0.13473684210526315,0.0
0.5,0.3999999999999999,1,0.10666666666666658,0.0
0.5,0.29999999999999993,1,0.07917525773195877,0.0
0.5,0.19999999999999996,1,0.052244897959183634,0.0
0.5,0.09999999999999998,1,0.025858585858585803,0.0
0.5,0.0,1,0.0,0.0
1.0,1.0,1,0.23431457505076203,0.0
1.0,0.9,1,0.20670412103234692,0.0
1.0,0.8,1,0.18032266460681323,0.0
1.0,0.7,1,0.15501938013611605,0.0
1.0,0.6,1,0.1306719787727395,0.0
1.0,0.5,1,0.10717967697244901,0.0
1.0,0.3999999999999999,1,0.08445824720006723,0.0
1.0,0.29999999999999993,1,0.062436443416568954,0.0
1.0,0.19999999999999996,1,0.04105336155958883,0.0
1.0,0.09999999999999998,1,0.020256452415282955,0.0
1.0,0.0,1,0.0,0.0
2.0,1.0,1,0.16715728752538095,0.0
2.0,0.9,1,0.14835206051617333,0.0
2.0,0.8,1,0.13016133230340643,0.0
2.0,0.7,1,0.112509690068058,0.0
2.0,0.6,1,0.09533598938636956,0.0
2.0,0.5,1,0.07858983848622447,0.0
2.0,0.3999999999999999,1,0.06222912360003352,0.0
2.0,0.29999999999999993,1,0.04621822170828427,0.0
2.0,0.19999999999999996,1,0.030526680779794257,0.0
2.0,0.09999999999999998,1,0.015128226207641315,0.0
2.0,0.0,1,0.0,0.0
4.0,1.0,1,0.13180143324945204,0.0
4.0,0.9,1,0.11771720232434868,0.0
4.0,0.8,1,0.10389215495844473,0.0
4.0,0.7,1,0.09029759817469007,0.0
4.0,0.6,1,0.07690987907733926,0.0
4.0,0.5,1,0.0637092094650148,0.0
4.0,0.3999999999999999,1,0.05067882393027823,0.0
4.0,0.29999999999999993,1,0.03780436199418169,0.0
4.0,0.19999999999999996,1,0.025073405058026355,0.0
4.0,0.09999999999999998,1,0.012475122986440601,0.0
4.0,0.0,1,0.0,0.0
8.0,1.0,1,0.11530442894344572,0.0
8.0,0.9,1,0.10336586604328735,0.0
8.0,0.8,1,0.09154228168633205,0.0
8.0,0.7,1,0.07982187734097501,0.0
8.0,0.6,1,0.06819482031245361,0.0
8.0,0.5,1,0.05665280197455136,0.0
8.0,0.3999999999999999,1,0.04518871793672319,0.0
8.0,0.29999999999999993,1,0.03379643097920926,0.0
8.0,0.19999999999999996,1,0.02247059173704591,0.0
8.0,0.09999999999999998,1,0.011206500647309658,0.0
8.0,0.0,1,0.0,0.0
16.0,1.0,1,0.10748999375496371,0.0
16.0,0.9,1,0.09654835823720975,0.0
16.0,0.8,1,0.08566047275184474,0.0
16.0,0.7,1,0.07482106043843328,0.0
16.0,0.6,1,0.06402569751821185,0.0
16.0,0.5,1,0.05327062545726968,0.0
16.0,0.3999999999999999,1,0.042552614218381746,0.0
16.0,0.29999999999999993,1,0.0318688603752223,0.0
16.0,0.19999999999999996,1,0.021216909671245343,0.0
16.0,0.09999999999999998,1,0.010594597126113658,0.0
16.0,0.0,1,0.0,0.0
32.0,1.0,1,0.10370315587136147,0.0
32.0,0.9,1,0.09323939767417189,0.0
32.0,0.8,1,0.0828015814476224,0.0
32.0,0.7,1,0.07238722016546228,0.0
32.0,0.6,1,0.06199422247181441,0.0
32.0,0.5,1,0.05162080647849865,0.0
32.0,0.3999999999999999,1,0.04126543683241024,0.0
32.0,0.29999999999999993,1,0.030926777704249342,0.0
32.0,0.19999999999999996,1,0.020603656968577355,0.0
32.0,0.09999999999999998,1,0.01029503843622892,0.0
32.0,0.0,1,0.0,0.0
