ES,Given,Time,wmedian,wmedianSD
0.03125,1.0,1,0.0,0.0
0.03125,0.9,1,0.0,0.0
0.03125,0.8,1,0.0,0.0
0.03125,0.7,1,0.0,0.0
0.03125,0.6,1,0.0,0.0
0.03125,0.5,1,0.0,0.0
0.03125,0.3999999999999999,1,0.0,0.0
0.03125,0.29999999999999993,1,0.0,0.0
0.03125,0.19999999999999996,1,0.0,0.0
0.03125,0.09999999999999998,1,0.0,0.0
0.03125,0.0,1,0.0,0.0
0.0625,1.0,1,0.0,0.0
0.0625,0.9,1,0.0,0.0
0.0625,0.8,1,0.0,0.0
0.0625,0.7,1,0.0,0.0
0.0625,0.6,1,0.0,0.0
0.0625,0.5,1,0.0,0.0
0.0625,0.3999999999999999,1,0.0,0.0
0.0625,0.29999999999999993,1,0.0,0.0
0.0625,0.19999999999999996,1,0.0,0.0
0.0625,0.09999999999999998,1,0.0,0.0
0.0625,0.0,1,0.0,0.0
0.125,1.0,1,0.0,0.0
0.125,0.9,1,0.0,0.0
0.125,0.8,1,0.0,0.0
0.125,0.7,1,0.0,0.0
0.125,0.6,1,0.0,0.0
0.125,0.5,1,0.0,0.0
0.125,0.3999999999999999,1,0.0,0.0
0.125,0.29999999999999993,1,0.0,0.0
0.125,0.19999999999999996,1,0.0,0.0
0.125,0.09999999999999998,1,0.0,0.0
0.125,0.0,1,0.0,0.0
0.25,1.0,1,0.0,0.0
0.25,0.9,1,0.0,0.0
0.25,0.8,1,0.0,0.0
0.25,0.7,1,0.0,0.0
0.25,0.6,1,0.0,0.0
0.25,0.5,1,0.0,0.0
0.25,0.3999999999999999,1,0.0,0.0
0.25,0.29999999999999993,1,0.0,0.0
0.25,0.19999999999999996,1,0.0,0.0
0.25,0.09999999999999998,1,0.0,0.0
0.25,0.0,1,0.0,0.0
0.5,1.0,1,0.0,0.0
0.5,0.9,1,0.0,0.0
0.5,0.8,1,0.0,0.0
0.5,0.7,1,0.0,0.0
0.5,0.6,1,0.0,0.0
0.5,0.5,1,0.0,0.0
0.5,0.3999999999999999,1,0.0,0.0
0.5,0.29999999999999993,1,0.0,0.0
0.5,0.19999999999999996,1,0.0,0.0
0.5,0.09999999999999998,1,0.0,0.0
0.5,0.0,1,0.0,0.0
1.0,1.0,1,0.0,0.0
1.0,0.9,1,0.0,0.0
1.0,0.8,1,0.0,0.0
1.0,0.7,1,0.0,0.0
1.0,0.6,1,0.0,0.0
1.0,0.5,1,0.0,0.0
1.0,0.3999999999999999,1,0.0,0.0
1.0,0.29999999999999993,1,0.0,0.0
1.0,0.19999999999999996,1,0.0,0.0
1.0,0.09999999999999998,1,0.0,0.0
1.0,0.0,1,0.0,0.0
2.0,1.0,1,0.0,0.0
2.0,0.9,1,0.0,0.0
2.0,0.8,1,0.0,0.0
2.0,0.7,1,0.0,0.0
2.0,0.6,1,0.0,0.0
2.0,0.5,1,0.0,0.0
2.0,0.3999999999999999,1,0.0,0.0
2.0,0.29999999999999993,1,0.0,0.0
2.0,0.19999999999999996,1,0.0,0.0
2.0,0.09999999999999998,1,0.0,0.0
2.0,0.0,1,0.0,0.0
4.0,1.0,1,0.0,0.0
4.0,0.9,1,0.0,0.0
4.0,0.8,1,0.0,0.0
4.0,0.7,1,0.0,0.0
4.0,0.6,1,0.0,0.0
4.0,0.5,1,0.0,0.0
4.0,0.3999999999999999,1,0.0,0.0
4.0,0.29999999999999993,1,0.0,0.0
4.0,0.19999999999999996,1,0.0,0.0
4.0,0.09999999999999998,1,0.0,0.0
4.0,0.0,1,0.0,0.0
8.0,1.0,1,0.0,0.0
8.0,0.9,1,0.0,0.0
8.0,0.8,1,0.0,0.0
8.0,0.7,1,0.0,0.0
8.0,0.6,1,0.0,0.0
8.0,0.5,1,0.0,0.0
8.0,0.3999999999999999,1,0.0,0.0
8.0,0.29999999999999993,1,0.0,0.0
8.0,0.19999999999999996,1,0.0,0.0
8.0,0.09999999999999998,1,0.0,0.0
8.0,0.0,1,0.0,0.0
16.0,1.0,1,0.0,0.0
16.0,0.9,1,0.0,0.0
16.0,0.8,1,0.0,0.0
16.0,0.7,1,0.0,0.0
16.0,0.6,1,0.0,0.0
16.0,0.5,1,0.0,0.0
16.0,0.3999999999999999,1,0.0,0.0
16.0,0.29999999999999993,1,0.0,0.0
16.0,0.19999999999999996,1,0.0,0.0
16.0,0.09999999999999998,1,0.0,0.0
16.0,0.0,1,0.0,0.0
32.0,1.0,1,0.0,0.0
32.0,0.9,1,0.0,0.0
32.0,0.8,1,0.0,0.0
32.0,0.7,1,0.0,0.0
32.0,0.6,1,0.0,0.0
32.0,0.5,1,0.0,0.0
32.0,0.3999999999999999,1,0.0,0.0
32.0,0.29999999999999993,1,0.0,0.0
32.0,0.19999999999999996,1,0.0,0.0
32.0,0.09999999999999998,1,0.0,0.0
32.0,0.0,1,0.0,0.0
